iucn_id,sci_name,vuln,mp_particles_ml,log_mp_particles_ml,distance_km,log_toxic_pressure,eco_risk_score,eco_risk_index,eco_risk_class,geometry
0,Hubbsina turneri,4,1.587223019930517e-05,-4.799362019090403,244.62745427349267,-6.214335367061222,2.4418817229700224e-06,0.016823641754177682,high,POINT (-11296646.265956 2258169.640465)
1,Hubbsina turneri,4,1.8481871681324115e-05,-4.733254025866976,237.0164898424897,-6.148227373837794,2.8433650278960156e-06,0.019589709961007187,high,POINT (-11329797.210314 2252382.256927)
2,Hubbsina turneri,4,1.8401017255451847e-05,-4.7351581438117645,237.23570953412576,-6.150131491782583,2.8309258854541296e-06,0.019504008971684438,high,POINT (-11330943.801069 2252583.424406)
3,Ictalurus mexicanus,2,8.191469144099196e-05,-4.08663819501893,176.95619272579108,-5.501611542989748,6.301130187768612e-06,0.04341240484783284,high,POINT (-11060055.612588 2509223.802994)
4,Ictalurus mexicanus,2,9.304550713816465e-05,-4.03130458801302,170.58567572110152,-5.446277935983838,7.15734677985882e-06,0.04931141351016612,high,POINT (-11054025.435772 2511525.234846)
5,Ameca splendens,4,0.00034834971332229,-3.4579845412893198,145.12627648501774,-4.872957889260138,5.359226374189075e-05,0.3692304385842492,high,POINT (-11586054.67812 2380125.467227)
6,Ameca splendens,4,0.00021051401134028496,-3.6767189911369718,170.30901075617052,-5.09169233910779,3.2386771129274575e-05,0.22313261034023857,high,POINT (-11559972.521427 2353774.551438)
7,Ameca splendens,4,0.0002097418333590997,-3.6783149380645312,170.4927509372754,-5.093288286035349,3.226797451678455e-05,0.22231414658631415,high,POINT (-11559783.278293 2353881.639296)
8,Ameca splendens,4,0.00020952490779926406,-3.6787643397094945,170.54449021394515,-5.093737687680313,3.223460135373292e-05,0.22208421810822845,high,POINT (-11559761.014395 2353298.613083)
9,Ameca splendens,4,0.0002093308219347865,-3.6791668192250158,170.59082738080014,-5.0941401671958335,3.220474198996716e-05,0.22187849837897633,high,POINT (-11559716.486599 2353262.918212)
10,Ameca splendens,4,0.00020910011609692592,-3.6796457239755633,170.64596332804243,-5.094619071946381,3.216924878414246e-05,0.22163396360757842,high,POINT (-11559582.90321 2354904.955303)
11,Ameca splendens,4,0.00020919529134454836,-3.6794480929012723,170.62321020965487,-5.0944214408720905,3.218389112993049e-05,0.22173484383512643,high,POINT (-11559605.167108 2354916.854667)
