"Source","DOI","Authors","Year","Species","Life Stage","In Vitro or In Vivo?","Sex","Experiment Type","Exposure Route","Particle Mix?","Negative Control","Reference Particle","Exposure Media General","Exposure Media Specific","Exposure Media Additions","Solvent","Detergent","pH","Salinity (ppt)","Temperature (Avg)","Temperature (Min)","Temperature (Max)","Exposure Duration (days)","Recovery (Days)","Number of Doses","Replicates","Sample Size","Dosing Frequency","particles/mL (master)","particles/mL (master), reported or converted","μg/mL (master)","μg/mL (master), reported or converted","μm^3/mL (master)","μm^2/mL (master)","μm/ug/mL (master)","Nominal Dose Alternative Category","Nominal Dose Alternative Type","Nominal Dose Alternative Type Units","Measured Dose Alternative Category","Measured Dose Alternative Type","Measured Dose Alternative Type Units","Nominal Chemical Added","Nominal Chemical Added Dose","Nominal Chemical Added Dose Units","Measured Chemical Added","Measured Chemical Added Dose","Measured Chemical Added Dose Units","Effect","Direction","Broad Endpoint Category","Specific Endpoint Category","Endpoint","Level of Biological Organization","Target Organelle, Cell, or Tissue","Polymer","Shape","Density (g/cm^3)","Density, reported or estimated","Charge","Zeta Potential (mV)","Zeta Potential Media","Functional Group","Particle Length (μm)","Size Category","Particle Volume (μm^3)","Particle Mass (mg)","Weathered or Biofouled?","Size Validated?","Polymer Validated?","Shape Validated","Particle Source","Sodium Azide Present?","Screened for Chemical Contamination?","Particle Cleaning?","Solvent Rinse","Background Contamination Monitored?","Concentration Validated?","Particle Behavior","Uptake Validated?","Tissue Distribution","Organisms Fed?","Particle Red Criteria Pass","Design Red Criteria Pass","Risk Red Criteria Pass","Particle Size*","Particle Shape*","Polymer Type*","Particle Source*","Surface Chemistry","Chemical Purity","Microbial Contamination","Concentration Units","Particle Stability","Test Vehicle*","Administered Dose*","Homogeneity of Exposure","Administration Route* (in vivo)/Test System (in vivo)","Test Species* (in vivo)/System Parameters (in vitro)","Feeding/Housing Conditions (in vivo)/Sample Size, Replicates (in vitro)","Sample Size* (in vivo)/Frequency/Duration of Exposure (in vitro)","Frequency,Duration of Exposure (in vivo)/Controls (in vitro)","Controls* (in vivo only)","Replicates (in vivo only)","Internal Dose Confirmation (in vivo only)","Statistical Analysis","Endpoints","Dose-Response*","Concentration Range","Effect Thresholds*","Test Particle Relevance"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","water","distilled water","not_specified","not_reported","not_reported","6.9",NA,NA,"20","22",35,0,4,"1","6",7,NA,NA,NA,NA,NA,NA,NA,NA,1,"mg/kg body weight/day",NA,NA,NA,"not_applicable",NA,NA,NA,NA,NA,"No",NA,"Stress","General Stress","Glutamicoxaloacetictransminase Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y","Pass","Pass","Pass",2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","water","distilled water","not_specified","not_reported","not_reported","6.9",NA,NA,"20","22",35,0,4,"1","6",7,NA,NA,NA,NA,NA,NA,NA,NA,3,"mg/kg body weight/day",NA,NA,NA,"not_applicable",NA,NA,NA,NA,NA,"No",NA,"Stress","General Stress","Glutamicoxaloacetictransminase Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y","Pass","Pass","Pass",2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","water","distilled water","not_specified","not_reported","not_reported","6.9",NA,NA,"20","22",35,0,4,"1","6",7,NA,NA,NA,NA,NA,NA,NA,NA,6,"mg/kg body weight/day",NA,NA,NA,"not_applicable",NA,NA,NA,NA,NA,"Yes","Increase","Stress","General Stress","Glutamicoxaloacetictransminase Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y","Pass","Pass","Pass",2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","water","distilled water","not_specified","not_reported","not_reported","6.9",NA,NA,"20","22",35,0,4,"1","6",7,NA,NA,NA,NA,NA,NA,NA,NA,10,"mg/kg body weight/day",NA,NA,NA,"not_applicable",NA,NA,NA,NA,NA,"Yes","Increase","Stress","General Stress","Glutamicoxaloacetictransminase Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y","Pass","Pass","Pass",2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","water","distilled water","not_specified","not_reported","not_reported","6.9",NA,NA,"20","22",35,0,4,"1","6",7,NA,NA,NA,NA,NA,NA,NA,NA,1,"mg/kg body weight/day",NA,NA,NA,"not_applicable",NA,NA,NA,NA,NA,"No",NA,"Stress","General Stress","Glutamicpyruvictransaminase Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y","Pass","Pass","Pass",2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","water","distilled water","not_specified","not_reported","not_reported","6.9",NA,NA,"20","22",35,0,4,"1","6",7,NA,NA,NA,NA,NA,NA,NA,NA,3,"mg/kg body weight/day",NA,NA,NA,"not_applicable",NA,NA,NA,NA,NA,"No",NA,"Stress","General Stress","Glutamicpyruvictransaminase Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y","Pass","Pass","Pass",2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","water","distilled water","not_specified","not_reported","not_reported","6.9",NA,NA,"20","22",35,0,4,"1","6",7,NA,NA,NA,NA,NA,NA,NA,NA,6,"mg/kg body weight/day",NA,NA,NA,"not_applicable",NA,NA,NA,NA,NA,"Yes","Increase","Stress","General Stress","Glutamicpyruvictransaminase Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y","Pass","Pass","Pass",2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","water","distilled water","not_specified","not_reported","not_reported","6.9",NA,NA,"20","22",35,0,4,"1","6",7,NA,NA,NA,NA,NA,NA,NA,NA,10,"mg/kg body weight/day",NA,NA,NA,"not_applicable",NA,NA,NA,NA,NA,"Yes","Increase","Stress","General Stress","Glutamicpyruvictransaminase Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y","Pass","Pass","Pass",2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","water","distilled water","not_specified","not_reported","not_reported","6.9",NA,NA,"20","22",35,0,4,"1","6",7,NA,NA,NA,NA,NA,NA,NA,NA,1,"mg/kg body weight/day",NA,NA,NA,"not_applicable",NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","T3 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y","Pass","Pass","Pass",2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","water","distilled water","not_specified","not_reported","not_reported","6.9",NA,NA,"20","22",35,0,4,"1","6",7,NA,NA,NA,NA,NA,NA,NA,NA,3,"mg/kg body weight/day",NA,NA,NA,"not_applicable",NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","T3 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y","Pass","Pass","Pass",2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0
